"where";"id";"gender";"age";"education";"employment";"is_rescue_worker";"red_cross_commeetee_location";"rescue_worker_qualification";"years_experience";"last_training";"rate_of_activity";"job_qualification";"is_job_qualification_invariant";"is_team_invariant";"neuroticism";"negative_affect";"i1_na";"i2_na";"i3_na";"i4_na";"i5_na";"i1_sr";"i2_sr";"i3_sr";"i4_sr";"i5_sr";"i6_sr";"i7_sr";"self_reproach";"extraversion";"openness";"agreeableness";"nonantagonistic_orientation";"prosocial_orientation";"conscientiousness";"cope_nvi";"social_support";"avoiding_strategies";"positive_attitude";"problem_orientation";"transcendent_orientation";"avoiding_strategies_R";"transcendent_orientation_R";"ptg";"life_appreciation";"new_possibilities";"personal_strength";"spirituality_changes";"interpersonal_relationships";"ies";"avoiding";"intrusivity";"iperarousal";"self_kindness";"self_judgment";"common_humanity";"isolation";"mindfulness";"over_identification";"neg_self_compassion";"pos_self_compassion";"family";"friends";"significant_other"
"toscana";"Ar16225";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Pisa";"Si";"15";"Più di 6 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"No";"No";6;3;2;0;1;0;0;1;1;0;1;0;0;0;3;34;45;31;17;14;35;147;33;19;42;34;19;65;21;43;0;8;18;0;17;18;6;12;0;23;21;16;19;20;16;56;59;14;20;21
"toscana";"MC13451";"female";NA;"Laurea breve";"Disoccupato";"Yes";"Comitato di Vernio";"Si";"2";"Più di 2 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"No";29;13;4;3;0;4;2;2;3;2;3;3;2;1;16;24;28;27;16;11;36;140;36;22;34;31;17;60;23;11;4;3;4;0;0;16;12;4;0;13;10;9;8;9;9;27;31;24;4;24
"toscana";"rs81083";"male";NA;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Firenze";"Si";"12";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Autista";"No";"Yes";4;2;2;0;0;0;0;0;2;0;0;0;0;0;2;38;33;35;21;14;44;138;27;17;33;42;19;67;21;16;6;0;5;0;5;22;12;8;2;15;16;9;19;14;20;55;38;8;24;24
"toscana";"MARS3647141";"female";NA;"Diploma";"Libero professionista";"Yes";"Comitato di Firenze";"Si";"15";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Autista";"Yes";"No";17;10;2;1;1;3;3;2;1;0;1;0;1;2;7;44;35;31;21;10;36;171;46;26;39;42;18;57;22;69;10;14;14;7;24;38;16;15;7;19;10;15;8;13;11;29;47;23;18;21
"toscana";"RP8620628";"male";NA;"Laurea breve";"Studente";"Yes";"Comitato di Semproniano";"Si";"5";"Meno di 6 mesi fa";"Meno di 1 turno al mese";"Autista";"Yes";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"toscana";"AJ47475";"female";NA;"Diploma";"Studente";"Yes";"Comitato di Firenze";"Si";"2";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"Yes";33;12;4;0;3;2;3;3;3;3;4;2;3;3;21;27;35;30;20;10;31;165;43;37;36;29;20;44;20;47;8;9;14;0;16;22;6;13;3;8;9;9;6;9;8;23;26;16;14;18
"toscana";"SP582566";"male";NA;"Scuola media primaria";"Studente";"Yes";"Comitato di Lucca";"Si";"1";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";10;6;1;0;2;2;1;1;1;0;1;0;1;0;4;39;36;33;20;13;37;123;24;17;29;34;19;67;21;30;4;9;8;0;9;7;3;4;0;9;14;9;12;11;16;42;29;22;23;24
"toscana";"MB83983";"female";NA;"Laurea magistrale";"Studente";"Yes";"Comitato di Massa";"Si";"5";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"No";29;12;3;3;1;3;2;4;2;2;2;3;3;1;17;29;25;32;18;14;27;154;36;28;34;30;26;54;14;48;11;6;10;4;17;2;1;1;0;16;15;14;12;13;9;36;43;21;14;16
"toscana";"Gs9965289";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Pisa";"Si";"10";"Più di 2 mesi fa";"Più di 1 turno a settimana";"Autista";"No";"Yes";6;2;1;1;0;0;0;3;0;1;0;0;0;0;4;37;26;35;21;14;35;133;24;19;37;34;19;65;21;9;3;0;3;0;3;10;5;5;0;17;21;13;20;15;19;60;45;24;24;24
"toscana";"LS375536";"female";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di San Vincenzo";"Si";"1";"Meno di 1 anno fa";"Meno di 1 turno al mese";"Soccorritore";"Yes";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"toscana";"am589153";"male";NA;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Livorno";"Si";"23";"Più di 1 anno fa";"Meno di 1 turno al mese";"Autista";"No";"No";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;34;26;39;26;13;43;138;21;16;45;39;17;68;23;91;14;19;20;3;35;8;4;4;0;16;23;12;20;19;20;63;47;24;24;24
"toscana";"Claudio Chiappone,9617,96";"male";NA;"Scuola media primaria";"Dipendente";"Yes";"Comitato di Siena";"Si";"5";"Meno di 6 mesi fa";"Più di 1 turno a settimana";"Autista";"No";"No";17;12;1;3;1;3;4;0;1;1;1;1;0;1;5;33;20;32;19;13;33;143;34;23;32;29;25;59;15;87;12;22;17;7;29;26;5;11;10;15;22;7;12;11;14;48;33;9;15;24
"toscana";"IZ5IOM";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato della Piana Pistoiese";"Si";"1";"Meno di 6 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";24;8;3;2;1;1;1;3;2;3;2;1;2;3;16;29;28;28;18;10;29;137;32;19;35;34;17;65;23;39;7;6;8;0;18;13;6;5;2;11;12;15;11;15;9;32;41;20;12;20
"toscana";"SP1490215";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Bagno a Ripoli";"Si";"1";"Meno di 1 anno fa";"1 turno ogni due settimane";"Capo-squadra";"No";"No";24;14;3;3;3;3;2;2;1;1;1;3;1;1;10;34;28;38;24;14;37;149;37;23;40;34;15;60;25;54;8;9;17;1;19;38;11;22;5;11;12;10;7;10;11;30;31;22;17;23
"toscana";"ES198114";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Uliveto Terme";"Si";"4";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"No";"No";27;12;3;3;2;2;2;3;2;3;3;2;2;0;15;34;30;39;23;16;40;157;47;21;30;34;25;63;15;67;13;14;7;7;26;45;9;25;11;12;16;15;8;9;13;37;36;23;18;24
"toscana";"EP553516";"male";NA;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Donoratico";"Si";"4";"Più di 1 anno fa";"1 turno a settimana";"Autista";"No";"No";30;13;2;3;2;3;3;2;3;2;3;3;3;1;17;24;26;25;14;11;12;143;32;36;33;25;17;48;23;58;9;13;10;4;22;53;18;19;16;10;12;15;9;11;10;31;36;20;18;19
"toscana";"GU142456";"male";NA;"Diploma";"Studente";"Yes";"Comitato di Pontasserchio";"Si";"2";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Soccorritore";"Yes";"Yes";14;7;3;1;2;0;1;0;2;0;1;1;1;2;7;31;24;31;18;13;31;139;31;22;33;36;17;61;23;20;3;2;8;0;7;7;6;0;1;10;15;6;13;12;17;45;28;24;24;24
"toscana";"DS8451141";"male";NA;"Diploma";"Libero professionista";"Yes";"Comitato di Firenze";"Si";"18";"Meno di 1 anno fa";"1 turno ogni due settimane";"Capo-squadra";"No";"Yes";16;12;0;1;4;4;3;0;1;0;1;0;2;0;4;38;33;21;15;6;41;130;27;17;35;34;17;67;23;61;11;16;15;0;19;43;13;20;10;15;22;12;20;16;19;61;43;23;20;19
"toscana";"AS462860";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Arezzo";"Si";"2";"Più di 1 anno fa";"Meno di 1 turno al mese";"Soccorritore";"No";"No";15;13;4;2;2;2;3;0;2;0;0;0;0;0;2;33;43;32;20;12;42;151;31;16;43;39;22;68;18;38;3;8;17;0;10;3;1;2;0;13;13;7;16;20;17;46;40;5;7;4
"toscana";"RB600536";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Pisa";"Si";"14";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Autista";"No";"No";14;9;2;1;4;1;1;0;1;0;3;1;0;0;5;34;38;34;22;12;38;137;33;17;34;35;18;67;22;71;11;18;17;5;20;0;0;0;0;19;21;15;20;16;18;59;50;23;24;24
"toscana";"AM133836";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Viareggio";"Si";"4";"Meno di 6 mesi fa";"Meno di 1 turno al mese";"Soccorritore";"No";"No";30;12;1;4;1;3;3;3;3;2;3;1;4;2;18;27;31;27;17;10;36;130;36;22;25;27;20;60;20;42;7;9;9;0;17;46;11;24;11;10;13;10;12;8;8;33;28;14;20;20
"toscana";"MB679223";"female";NA;"Diploma";"Studente";"Yes";"Comitato di Firenze";"Si";"1";"Meno di 1 anno fa";"1 turno ogni due settimane";"Soccorritore";"No";"Yes";11;6;2;1;1;1;1;0;2;0;1;1;0;1;5;38;38;36;23;13;47;155;40;17;30;43;25;67;15;63;10;15;12;2;24;26;9;11;6;9;9;5;11;6;11;31;20;24;24;24
"toscana";"CM133760";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Arezzo";"Si";"1";"Più di 1 anno fa";"Meno di 1 turno al mese";"Soccorritore";"No";"No";6;6;1;0;1;0;4;0;0;0;0;0;0;0;0;37;47;44;29;15;44;127;26;21;29;35;16;62;24;85;13;23;17;0;32;4;3;1;0;15;21;11;19;14;19;59;40;24;24;24
"toscana";"AP320435";"male";NA;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Pisa";"Si";"2";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"No";"No";15;9;3;0;3;1;2;0;1;2;1;1;1;0;6;34;29;31;17;14;28;150;37;22;38;38;15;61;25;47;11;7;14;0;15;19;4;11;4;18;14;15;18;14;16;48;47;21;19;4
"toscana";"ac138827";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Piombino";"Si";"8";"Più di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"No";31;16;3;2;4;3;4;1;1;4;4;1;0;4;15;16;29;28;15;13;29;124;17;24;36;33;14;58;26;6;0;3;3;0;0;57;23;27;7;5;6;10;13;13;9;28;28;10;4;4
"toscana";"BA435283";"female";NA;"Diploma";"Disoccupato";"Yes";"Comitato di Viareggio";"Si";"2";"Meno di 6 mesi fa";"Più di 1 turno a settimana";"Soccorritore";"No";"No";32;15;3;3;3;3;3;2;4;3;2;1;2;3;17;26;29;33;22;11;26;114;27;21;29;19;18;63;22;51;10;11;11;0;19;20;4;13;3;5;24;4;17;5;17;58;14;24;24;24
"toscana";"PF879911";"female";NA;"Diploma";"Studente";"Yes";"Comitato di Firenze";"Si";"1";"Più di 6 mesi fa";"1 turno al mese";"Soccorritore";"No";"No";20;10;1;2;3;2;2;2;2;2;2;2;0;0;10;25;33;24;15;9;39;126;15;21;35;36;19;62;21;5;2;1;0;0;2;4;3;1;0;7;9;12;12;16;14;35;35;6;10;7
"toscana";"DM67706";"male";NA;"Diploma";"Studente";"Yes";"Comitato di Firenze";"Si";"3";"Meno di 2 mesi fa";"1 turno a settimana";"Capo-squadra";"Yes";"Yes";25;9;2;2;2;1;2;2;3;2;3;2;2;2;16;35;21;27;15;12;28;154;42;20;37;39;16;64;24;48;8;10;9;0;21;52;17;23;12;23;10;17;8;17;7;25;57;16;20;20
"toscana";"Vs40222c";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Incisa Valdarno";"Si";"9";"Più di 2 mesi fa";"1 turno a settimana";"Autista";"No";"No";11;6;4;2;0;0;0;0;1;0;0;0;1;3;5;42;29;22;10;12;45;148;31;17;39;42;19;67;21;64;11;13;13;1;26;21;14;7;0;22;17;9;20;19;19;56;50;24;24;19
"toscana";"FG985217";"female";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di Grosseto";"Si";"6";"Meno di 1 anno fa";"1 turno al mese";"Soccorritore";"Yes";"No";18;13;3;2;2;3;3;1;2;0;2;0;0;0;5;42;40;24;17;7;39;151;40;20;38;33;20;64;20;76;12;23;16;0;25;62;13;30;19;15;14;14;12;12;14;40;41;23;24;24
"toscana";"AC30953";"male";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di Firenze";"Si";"5";"Meno di 1 anno fa";"1 turno al mese";"Capo-squadra";"Yes";"Yes";3;2;1;0;1;0;0;0;0;0;1;0;0;0;1;46;29;33;25;8;46;135;33;17;32;33;20;67;20;76;12;19;17;0;28;23;4;17;2;19;16;9;20;18;20;56;46;24;24;24
"toscana";"ZD043082";"male";NA;"Scuola media primaria";"Dipendente";"Yes";"Comitato di Venturina Terme";"Si";"5";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Autista";"Yes";"No";43;15;1;4;4;3;3;4;4;4;4;4;4;4;28;25;14;16;6;10;27;147;32;37;42;26;10;47;30;67;11;17;14;1;24;46;17;20;9;12;11;16;8;14;6;25;42;9;17;11
"toscana";"EM634920";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Firenze";"Si";"10";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Capo-squadra";"No";"No";12;5;2;0;1;1;1;1;2;1;1;1;1;0;7;43;33;38;25;13;35;142;35;18;35;32;22;65;18;79;15;18;14;6;26;15;2;12;1;18;19;16;16;14;16;51;48;23;16;24
"toscana";"CM11914";"male";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di Orbetello";"Si";"10";"Meno di 1 anno fa";"1 turno a settimana";"Autista";"Yes";"No";7;3;1;1;0;0;1;1;2;0;0;0;1;0;4;28;18;42;26;16;43;121;17;24;28;32;20;60;20;0;0;0;0;0;0;6;2;4;0;12;20;4;19;12;19;58;28;24;22;24
"toscana";"GP852624";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Follonica";"Si";"8";"Meno di 1 anno fa";"Meno di 1 turno al mese";"Soccorritore";"Yes";"No";8;5;3;1;0;1;0;0;2;0;1;0;0;0;3;41;21;42;28;14;46;149;23;19;41;46;20;65;20;55;10;8;14;0;23;9;2;4;3;23;19;18;12;18;17;48;59;19;20;24
"toscana";"CF63245";"female";NA;"Laurea breve";"Studente";"Yes";"Comitato di Firenze";"Si";"6";"Più di 1 anno fa";"1 turno a settimana";"Capo-squadra";"No";"No";20;10;2;2;2;2;2;1;2;1;1;3;1;1;10;34;32;27;18;9;33;125;18;25;31;32;19;59;21;75;15;23;19;5;13;49;16;18;15;15;15;12;12;12;12;39;39;24;24;20
"toscana";"MT846224";"male";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di Firenze";"Si";"24";"Meno di 6 mesi fa";"1 turno al mese";"Capo-squadra";"No";"Yes";19;10;2;2;2;1;3;1;2;0;3;1;1;1;9;36;36;23;14;9;35;141;30;20;35;39;17;63;23;32;5;7;9;0;11;37;17;15;5;13;12;13;16;14;15;43;40;11;20;20
"toscana";"PV503634";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Incisa Valdarno";"Si";"8";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Autista";"No";"No";16;6;3;0;0;1;2;2;4;3;0;0;1;0;10;27;25;23;13;10;31;132;26;18;33;37;18;66;22;53;8;13;17;0;15;35;4;19;12;10;8;12;15;14;12;35;36;5;12;19
"toscana";"BM443115";"male";NA;"Scuola media primaria";"Pensionato";"Yes";"Comitato di Firenze";"Si";"10";"Meno di 1 anno fa";"Meno di 1 turno al mese";"Autista";"Yes";"Yes";29;14;3;4;3;3;1;3;3;1;3;3;2;0;15;27;25;32;19;13;37;142;28;22;37;35;20;62;20;27;7;6;0;0;14;16;5;6;5;15;18;10;14;13;15;47;38;24;14;24
"toscana";"Wb7593100";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Lucca";"Si";"13";"Più di 6 mesi fa";"1 turno al mese";"Autista";"Yes";"Yes";23;6;1;2;0;1;2;2;2;2;4;2;3;2;17;32;20;31;16;15;43;167;42;35;39;41;10;47;30;86;15;23;18;0;30;47;15;20;12;17;9;12;9;15;8;26;44;16;24;24
"toscana";"MM233725";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Firenze";"Si";"5";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Autista";"Yes";"Yes";20;12;3;3;2;2;2;0;2;1;2;1;2;0;8;34;30;26;18;8;26;141;32;30;33;32;14;53;26;60;9;16;14;3;18;27;11;8;8;16;18;10;14;15;12;44;41;15;16;19
"toscana";"GD996468";"male";NA;"Laurea magistrale";"Dipendente";"Yes";"Comitato della Piana Pistoiese";"Si";"4";"Più di 1 anno fa";"Meno di 1 turno al mese";"Soccorritore";"No";"Yes";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"toscana";"LS420819";"female";NA;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Firenze";"Si";"6";"Più di 1 anno fa";"1 turno al mese";"Soccorritore";"Yes";"No";30;15;4;2;3;3;3;3;3;3;2;2;0;2;15;29;42;40;25;15;37;146;43;20;35;32;16;63;24;73;12;20;15;0;26;41;9;20;12;15;7;16;6;10;8;21;41;16;20;20
"toscana";"RR689012";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Rignano sull'Arno";"Si";"9";"Meno di 6 mesi fa";"1 turno ogni due settimane";"Autista";"No";"No";18;13;3;1;3;3;3;2;1;1;1;0;0;0;5;33;22;28;17;11;38;114;15;17;30;32;20;67;20;17;3;4;5;0;5;0;0;0;0;11;23;7;19;11;18;60;29;24;20;19
"toscana";"Pf2160";"male";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di Lucca";"Si";"20";"Più di 1 anno fa";"Meno di 1 turno al mese";"Capo-squadra";"Yes";"No";15;8;2;0;2;2;2;0;3;0;2;1;0;1;7;33;47;30;21;9;32;152;34;25;36;37;20;57;20;69;10;20;19;1;19;23;9;10;4;15;14;16;13;16;15;42;47;19;20;24
"toscana";"MR77439";"male";NA;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Firenze";"Si";"15";"Più di 1 anno fa";"1 turno al mese";"Autista";"No";"No";23;9;3;1;1;2;2;2;2;2;3;3;1;1;14;32;37;29;16;13;32;162;35;32;38;39;18;50;22;67;10;16;14;3;24;41;11;21;9;19;9;16;6;12;7;22;47;4;18;17
